type,desc,zip,boroughBlockLot,censusTract,geoDis,dbn
General Academic,Elementary,10033,1021420154.0,26300.0,6,06M173
General Academic,Elementary,10040,1021710036.0,28300.0,6,06M178
General Academic,K-8,10040,1021790365.0,27300.0,6,06M187
General Academic,Elementary,10040,1021590051.0,27700.0,6,06M189
General Academic,Elementary,10031,1019880200.0,22301.0,6,06M192
General Academic,Junior High-Intermediate-Middle,10031,1019880200.0,22301.0,6,06M209
General Academic,K-8,10031,1020840129.0,23700.0,6,06M210
Career Technical,High school,10034,1022330020.0,29100.0,6,06M211
General Academic,Junior High-Intermediate-Middle,10027,1019570001.0,21703.0,5,06M223
General Academic,K-8,10034,1022150831.0,29900.0,6,06M278
General Academic,Secondary School,10040,1021720016.0,28500.0,6,06M293
General Academic,K-8,10034,1022340007.0,29100.0,6,06M311
General Academic,Elementary,10034,1022340007.0,29100.0,6,06M314
General Academic,Junior High-Intermediate-Middle,10032,1021120058.0,24900.0,6,06M319
General Academic,Junior High-Intermediate-Middle,10040,1021720016.0,28500.0,6,06M322
General Academic,Junior High-Intermediate-Middle,10032,1021120058.0,24900.0,6,06M324
General Academic,Junior High-Intermediate-Middle,10032,1021110024.0,24301.0,6,06M328
General Academic,Secondary School,10032,1021160031.0,24100.0,6,06M346
General Academic,K-12 all grades,10033,1021550035.0,26900.0,6,06M348
General Academic,Junior High-Intermediate-Middle,10033,1021420154.0,26300.0,6,06M349
General Academic,K-8,10034,1022260041.0,29300.0,6,06M366
General Academic,Elementary,10031,1020780019.0,23300.0,6,06M368
Transfer School,High school,10034,1022330020.0,29100.0,6,06M423
General Academic,High school,10040,1021600018.0,27700.0,6,06M462
General Academic,High school,10040,1021600018.0,27700.0,6,06M463
General Academic,High school,10040,1021600018.0,27700.0,6,06M467
General Academic,High school,10040,1021600018.0,27700.0,6,06M468
General Academic,Elementary,10032,1021250001.0,25100.0,6,06M513
General Academic,Junior High-Intermediate-Middle,10033,1021640032.0,27100.0,6,06M528
General Academic,High school,10031,1019570078.0,21703.0,6,06M540
General Academic,High school,10032,1021230045.0,25100.0,6,06M552
General Academic,Elementary,10451,2024110119.0,6700.0,7,07X001
General Academic,K-8,10455,2026420001.0,7300.0,7,07X005
General Academic,Elementary,10451,2023240008.0,5100.0,7,07X018
General Academic,Elementary,10455,2026640001.0,7900.0,7,07X025
General Academic,K-8,10451,2024030001.0,6900.0,7,07X029
General Academic,Elementary,10454,2022670015.0,3900.0,7,07X030
General Academic,K-8,10451,2024430190.0,6100.0,7,07X031
General Academic,Elementary,10454,2022800040.0,2500.0,7,07X043
General Academic,Elementary,10454,2023020040.0,3900.0,7,07X049
General Academic,Elementary,10454,2025710001.0,3300.0,7,07X065
General Academic,Junior High-Intermediate-Middle,10451,2024430190.0,6100.0,7,07X151
General Academic,Elementary,10454,2022980001.0,2300.0,7,07X154
General Academic,Elementary,10456,2026250001.0,7500.0,7,07X157
General Academic,Elementary,10455,2026640029.0,7900.0,7,07X161
General Academic,Elementary,10454,2022840034.0,3900.0,7,07X179
General Academic,Secondary School,10454,2023060054.0,4300.0,7,07X221
General Academic,Secondary School,10454,2023060054.0,4300.0,7,07X223
General Academic,Junior High-Intermediate-Middle,10454,2022860036.0,4100.0,7,07X224
Career Technical,High school,10455,2025760026.0,3500.0,7,07X259
General Academic,Elementary,10455,2022740023.0,4300.0,7,07X277
General Academic,Junior High-Intermediate-Middle,10456,2026550030.0,7700.0,7,07X296
General Academic,Junior High-Intermediate-Middle,10456,2026550030.0,7700.0,7,07X298
General Academic,High school,10454,2022860036.0,4100.0,7,07X334
General Academic,Junior High-Intermediate-Middle,10454,2022860036.0,4100.0,7,07X343
General Academic,Elementary,10451,2024430079.0,6100.0,7,07X359
General Academic,Elementary,10454,2022840034.0,3900.0,7,07X369
Transfer School,High school,10456,2026550030.0,7700.0,7,07X379
Transfer School,High school,10451,2024110022.0,6700.0,7,07X381
General Academic,High school,10451,2023440096.0,6300.0,7,07X427
General Academic,High school,10455,2023590240.0,7100.0,7,07X473
General Academic,High school,10455,2023590240.0,7100.0,7,07X495
General Academic,Secondary School,10455,2026160001.0,7300.0,7,07X500
Career Technical,High school,10451,2024110022.0,6700.0,7,07X522
General Academic,High school,10451,2024430078.0,6100.0,7,07X527
General Academic,District Pre-K Center,10455,2025821001.0,3100.0,7,07X533
General Academic,High school,10451,2024430078.0,6100.0,7,07X548
General Academic,Secondary School,10451,2023330070.0,5100.0,7,07X551
Transfer School,High school,10455,2025760026.0,3500.0,7,07X557
General Academic,Junior High-Intermediate-Middle,10455,2026160001.0,7300.0,7,07X584
Career Technical,High school,10451,2024110022.0,6700.0,7,07X600
General Academic,High school,10451,2024430078.0,6100.0,7,07X625
General Academic,High school,10451,2023440096.0,6300.0,7,07X670
General Academic,Elementary,10461,2053130092.0,18400.0,8,08X014
General Academic,Elementary,10472,2038170001.0,7800.0,8,08X036
General Academic,Elementary,10474,2027660001.0,9300.0,8,08X048
General Academic,Elementary,10455,2026830065.0,8300.0,8,08X062
General Academic,Elementary,10473,2035240020.0,1600.0,8,08X069
General Academic,K-8,10461,2041710001.0,26602.0,8,08X071
General Academic,Elementary,10465,2054400001.0,15800.0,8,08X072
General Academic,Elementary,10459,2027470001.0,11900.0,8,08X075
General Academic,Elementary,10473,2036520001.0,2800.0,8,08X093
General Academic,Elementary,10473,2036410001.0,4200.0,8,08X100
General Academic,Junior High-Intermediate-Middle,10465,2055470001.0,15200.0,8,08X101
General Academic,Elementary,10473,2035910050.0,2000.0,8,08X107
General Academic,Elementary,10472,2037890021.0,4001.0,8,08X119
General Academic,Junior High-Intermediate-Middle,10472,2037180001.0,4800.0,8,08X123
General Academic,Elementary,10455,2026880001.0,8500.0,8,08X130
General Academic,Junior High-Intermediate-Middle,10473,2036440001.0,4200.0,8,08X131
General Academic,Elementary,10473,2036090016.0,7400.0,8,08X138
General Academic,Elementary,10456,2026270009.0,18500.0,8,08X140
General Academic,Elementary,10456,2026320027.0,18500.0,8,08X146
General Academic,Elementary,10472,2037110001.0,5200.0,8,08X152
General Academic,Elementary,10473,2035640001.0,1600.0,8,08X182
General Academic,Secondary School,10459,2027230033.0,8900.0,8,08X269
General Academic,High school,10473,2034780018.0,400.0,8,08X282
General Academic,High school,10461,2053680001.0,19400.0,11,08X293
General Academic,Junior High-Intermediate-Middle,10456,2026310048.0,18500.0,8,08X301
General Academic,Junior High-Intermediate-Middle,10455,2026860020.0,8300.0,8,08X302
General Academic,Elementary,10465,2055470001.0,15200.0,8,08X304
General Academic,High school,10473,2036040039.0,1600.0,8,08X312
General Academic,High school,10461,2053680001.0,19400.0,11,08X320
General Academic,Elementary,10459,2026960085.0,8700.0,8,08X333
General Academic,Junior High-Intermediate-Middle,10472,2037180001.0,4800.0,8,08X337
General Academic,High school,10461,2053680001.0,19400.0,11,08X348
General Academic,High school,10461,2053680001.0,19400.0,11,08X349
General Academic,Secondary School,10473,2034780018.0,400.0,8,08X367
General Academic,Junior High-Intermediate-Middle,10465,2054380001.0,15800.0,8,08X371
General Academic,Junior High-Intermediate-Middle,10473,2034780018.0,400.0,8,08X375
General Academic,Secondary School,10473,2036040039.0,1600.0,8,08X376
Transfer School,High school,10473,2036040039.0,1600.0,8,08X377
General Academic,Elementary,10465,2054380001.0,15800.0,8,08X392
General Academic,High school,10461,2053680001.0,19400.0,11,08X405
General Academic,Junior High-Intermediate-Middle,10474,2027630279.0,11700.0,8,08X424
General Academic,High school,10473,2036040039.0,1600.0,8,08X432
General Academic,Junior High-Intermediate-Middle,10473,2036440001.0,4200.0,8,08X448
General Academic,High school,10473,2036040039.0,1600.0,8,08X452
General Academic,Junior High-Intermediate-Middle,10465,2054380001.0,15800.0,8,08X467
General Academic,High school,10459,2027100001.0,8700.0,8,08X530
Transfer School,High school,10473,2036220018.0,2800.0,8,08X537
General Academic,High school,10461,2053680001.0,19400.0,11,08X558
General Academic,High school,10456,2026680001.0,13300.0,8,08X559
General Academic,High school,10473,2036040039.0,1600.0,8,08X561
General Academic,Junior High-Intermediate-Middle,10472,2037900040.0,4001.0,8,08X562
General Academic,Elementary,10472,2037330005.0,4001.0,8,08X583
General Academic,K-8,10457,2029300075.0,16500.0,9,09X004
General Academic,Elementary,10452,2025290081.0,20100.0,9,09X011
General Academic,Junior High-Intermediate-Middle,10456,2024380050.0,17500.0,9,09X022
General Academic,Elementary,10457,2028040031.0,23302.0,9,09X028
General Academic,Elementary,10451,2024460043.0,18302.0,9,09X035
General Academic,Elementary,10457,2029030023.0,16900.0,9,09X042
General Academic,Elementary,10456,2024350075.0,17500.0,9,09X053
General Academic,Elementary,10456,2029020001.0,14702.0,9,09X055
General Academic,Elementary,10457,2029090032.0,39500.0,9,09X058
General Academic,Elementary,10456,2026150014.0,14900.0,9,09X063
General Academic,Elementary,10457,2027930028.0,22902.0,9,09X070
General Academic,Elementary,10452,2025040082.0,18900.0,9,09X073
General Academic,Early Childhood,10456,2028300017.0,17902.0,9,09X088
General Academic,Elementary,10453,2028770393.0,20502.0,9,09X109
General Academic,Elementary,10456,2029320001.0,14900.0,9,09X110
General Academic,Elementary,10452,2024950100.0,6300.0,9,09X114
General Academic,Junior High-Intermediate-Middle,10453,2028270001.0,23301.0,9,09X117
General Academic,Elementary,10452,2025260083.0,19900.0,9,09X126
General Academic,Junior High-Intermediate-Middle,10456,2029320001.0,14900.0,9,09X128
General Academic,Elementary,10456,2023900001.0,14500.0,9,09X132
General Academic,Elementary,10457,2031420048.0,37900.0,9,09X163
General Academic,Early Childhood,10452,2028470041.0,22702.0,9,09X170
General Academic,Elementary,10452,2028730027.0,21302.0,9,09X199
General Academic,Elementary,10453,2028660070.0,21502.0,9,09X204
General Academic,Junior High-Intermediate-Middle,10456,2029250001.0,14701.0,9,09X215
General Academic,K-8,10452,2024800008.0,19700.0,9,09X218
General Academic,Junior High-Intermediate-Middle,10456,2029250001.0,14701.0,9,09X219
General Academic,High school,10457,2028170002.0,22500.0,9,09X227
General Academic,Junior High-Intermediate-Middle,10453,2028820130.0,5300.0,9,09X229
General Academic,Secondary School,10457,2029230018.0,39500.0,9,09X231
General Academic,Junior High-Intermediate-Middle,10453,2028660070.0,21502.0,9,09X232
General Academic,Elementary,10453,2028510021.0,23301.0,9,09X236
General Academic,Secondary School,10457,2029130001.0,16700.0,9,09X241
General Academic,High school,10456,2029250056.0,14701.0,9,09X250
General Academic,High school,10457,2029130001.0,16700.0,9,09X252
General Academic,High school,10456,2029250056.0,14701.0,9,09X260
General Academic,High school,10457,2029130001.0,16700.0,9,09X263
General Academic,Elementary,10453,2028820130.0,5300.0,9,09X274
General Academic,Elementary,10452,2028430040.0,22300.0,9,09X294
General Academic,High school,10456,2026340001.0,13500.0,9,09X297
General Academic,Junior High-Intermediate-Middle,10453,2028660070.0,21502.0,9,09X303
General Academic,Elementary,10452,2028430040.0,22300.0,9,09X311
General Academic,Junior High-Intermediate-Middle,10457,2028970005.0,16700.0,9,09X313
General Academic,Junior High-Intermediate-Middle,10456,2024380050.0,17500.0,9,09X323
General Academic,Secondary School,10456,2024460043.0,18302.0,9,09X324
