dbn,schoolName,cohortYear,cohort,numTotalCohort,numGrads,pctGrad
01M509,MARTA VALLE HIGH SCHOOL,2007,4 year June,95,47.0,0.494736824
01M509,MARTA VALLE HIGH SCHOOL,2006,4 year June,84,47.0,0.5595238113
01M509,MARTA VALLE HIGH SCHOOL,2005,4 year June,88,49.0,0.5568181992
01M509,MARTA VALLE HIGH SCHOOL,2004,4 year June,65,29.0,0.4461538315
01M509,MARTA VALLE HIGH SCHOOL,2003,4 year June,70,31.0,0.44285713200000004
01M509,MARTA VALLE HIGH SCHOOL,2002,4 year June,55,22.0,0.4
01M509,MARTA VALLE HIGH SCHOOL,2001,4 year June,69,34.0,0.4927536392
01M509,MARTA VALLE HIGH SCHOOL,2015,5 year August,38,33.0,0.8684210204999999
01M509,MARTA VALLE HIGH SCHOOL,2014,5 year August,39,27.0,0.692307663
01M509,MARTA VALLE HIGH SCHOOL,2013,5 year August,54,43.0,0.7962963104
01M509,MARTA VALLE HIGH SCHOOL,2012,5 year August,68,52.0,0.7647058868000001
01M509,MARTA VALLE HIGH SCHOOL,2011,5 year August,90,49.0,0.5444444275
01M509,MARTA VALLE HIGH SCHOOL,2010,5 year August,58,36.0,0.6206896591000001
01M509,MARTA VALLE HIGH SCHOOL,2009,5 year August,67,35.0,0.5223880768
01M509,MARTA VALLE HIGH SCHOOL,2008,5 year August,80,49.0,0.6125
01M509,MARTA VALLE HIGH SCHOOL,2007,5 year August,86,57.0,0.6627906799000001
01M509,MARTA VALLE HIGH SCHOOL,2006,5 year August,86,59.0,0.6860465240000001
01M509,MARTA VALLE HIGH SCHOOL,2015,5 year June,38,33.0,0.8684210204999999
01M509,MARTA VALLE HIGH SCHOOL,2014,5 year June,39,27.0,0.692307663
01M509,MARTA VALLE HIGH SCHOOL,2013,5 year June,54,43.0,0.7962963104
01M509,MARTA VALLE HIGH SCHOOL,2012,5 year June,68,51.0,0.75
01M509,MARTA VALLE HIGH SCHOOL,2011,5 year June,90,49.0,0.5444444275
01M509,MARTA VALLE HIGH SCHOOL,2010,5 year June,58,35.0,0.6034482574
01M509,MARTA VALLE HIGH SCHOOL,2009,5 year June,67,32.0,0.4776119232
01M509,MARTA VALLE HIGH SCHOOL,2008,5 year June,80,49.0,0.6125
